state,today,total
HSC Shahila Balli (Aurai),0,126
HSC Shivdaha,0,695
HSC Simra,0,406
HSC Suriyahi,0,99
HSC Susta,0,"1,167"
HSC Unsar,0,926
HWC Dahila,0,"1,223"
HWC Dhamauli Ramnath,0,32
HWC Dubiyahi HSC,0,"1,219"
HWC Dwarikapur HSC,0,372
HWC Funda,0,22
HWC Kewatsa,0,"1,756"
HWC Machhahi APHC,0,571
HWC Mungauli APHC,0,103
HWC Mushhari Fatehan,0,31
HWC Narauli Sen HSC,0,153
HWC Nariyar HSC,0,79
HWC Narma,0,"2,952"
HWC Rampur Azrakwe APHC,0,724
HWC Rampur Dayal,0,"1,958"
HWC Sarhachiya,0,"3,301"
HWC Siho APHC,3,"16,400"
Hazi Colony Mithanpura,0,52
Home Guard -A,0,980
Home Guard-B,0,108
ImaliChatti AWC ( 259),0,30
Jail Chowk Amurd Bagan,0,120
Jail Muzaffarpur 1,0,"5,299"
Jhapaha Camp,0,21
KAN M BARMATPUR,0,10
KAN M1 BAKATPUR PANCHAYAT,0,21
KAN M1 DAMODARPUR HOUSINSBOARD,0,193
KAN M1 HARCHANDA RASULPUR,0,27
KAN M1 KOLHUA BAIRIYA,0,652
KAN M1 MANI FULKAHAN PANCHAYAT,0,161
KAN M1 NAGAR PANCHAHYAT,0,209
KAN M1 NAGAR PANCHAYAT PSTT,0,100
KAN M1 PAIGAMBARPUR KOLHUA,0,21
KAN M1 SAHPUR PANCHAYAT,0,388
KAN M1 SAHPUR PANCHAYAT,0,530
KAN M1 SAIN PANCHAYAT,0,51
KAN M1 SERUKAHI PANCHYAT,0,55
KAN M1DHEMAHAN PANCHAYAT,0,147
KAN M2 BAHUYARA PANCHAYAT,0,130
KAN M2 BAKATPUR PANCHAYAT,0,284
KAN M2 DHAMOULI RAM NATH WEST,0,17
KAN M2 DHEMAHAN PANCHAYAT,0,305
KAN M2 HARCHANDA PANCHAYAT,0,21
KAN M2 JHITKAHI MADHUBAN,0,31
KAN M2 MANI FULKAHA PANCHAYAT,0,300
KAN M2 MANIPUR SIRISIYA 160,0,20
KAN M2 NAGAR PANCHAYAT KOTHIYA,0,679
KAN M2 PANAPUR HAWELI,0,372
KAN M2 PANAPUR HAWELI MM,0,10
KAN M2 SAHPUR PANCHAYAT,0,60
KAN M2URB CHANDANI CHOWK,0,725
KAN M2URB TE DAMODARPUR,0,486
KAN S APHC Laskaripur,0,916
KAN S APHC Panapur Haweli,0,257
KAN S AWC 44 Mahartha,0,245
KAN S AWC 46 Thikaha,0,529
KAN S AWC 53 Bakatpur,0,262
KAN S AWC 8,0,109
KAN S AWC 88 Arra,0,196
KAN S AWC Ward 2 Mirjapur,0,106
KAN S Atithisala Sadatpur,0,197
KAN S Durga Asthan Kothiyapur,0,127
KAN S GIRL HS Ward 1,0,728
KAN S HSC Bangra Chaupan,0,202
KAN S HSC Kalwari,0,180
KAN S HSC Kaparpura,0,265
KAN S HSC Sain,0,193
KAN S HSC Sain Chand Pandey,0,192
KAN S HSC Serukahi,0,335
KAN S MS Bangra Chaupan,0,180
KAN S MS Bathanaha,0,501
KAN S MS Chhitrapatti,0,257
KAN S MS Dadar,0,158
KAN S MS Dhemhan,0,396
KAN S MS Kalwari,0,254
KAN S MS Khajuri,0,229
KAN S MS Kushi,0,255
KAN S MS Madhukar Chhapra,0,17
KAN S MS Manifulkahan,0,328
KAN S MS Singar,0,253
KAN S MS Srisiya,0,451
KAN S MS Tarma,0,258
KAN S NP Kothiya Mazar,0,740
KAN S NP PB Fulmat Asthan,0,"1,189"
KAN S NP PS Gop Tola,0,350
KAN S NP PS Kothiya Balak,0,818
KAN S NP PS Station Tola,0,543
KAN S NP Ramdhari Singh Mar,0,530
KAN S NP UMS Kanti Kasba,0,"1,117"
KAN S NP Ward 7,0,313
KAN S PB Birpur,0,210
KAN S PB Dadar,0,528
KAN S PB Godai Fulkaha,0,887
KAN S PB Kolhua Bairia,0,822
KAN S PB NP KIshunagar,0,648
KAN S PS Ahladpur,0,210
KAN S PS Anu Kanti,0,2
KAN S PS Awas Board,0,61
KAN S PS Bajhila,0,223
KAN S PS Brijla,0,201
KAN S PS Fatehpur,0,260
KAN S PS Gosaipur,0,42
KAN S PS Kalwari Kanya,0,292
KAN S PS Madhopur Machiya,0,205
KAN S PS Narayan Bheriyahi,0,214
KAN S PS Peni Chhapra,0,177
KAN S PS Pokhraira,0,202
KAN S PS Roshanpur,0,227
KAN S PS Sain Bangra Dayal,0,147
KAN S PS Sarmaspur,0,254
KAN S PS Serukahi Isha,0,241
KAN S PS Sherpur,0,168
KAN S PS Shivparshan Singh,0,191
KAN S PS Urdu Madho Chhapra,0,204
KAN S PS Vishunpur Mahannad,0,195
KAN S SAM Kanti Ward 2,0,135
KAN S SAM Sarmaspur,0,254
KAN S Sam Kolhua,0,164
KAN S UMS Arijpur,0,386
KAN S UMS Asnagar Urdu,0,273
KAN S UMS Bariyarpur,0,223
KAN S UMS Chhapra Manorath,0,266
KAN S UMS Gochhi Chhapra,0,100
KAN S UMS Gosai Tola,0,540
KAN S UMS Mubarakpur,0,201
KAN S UMS Pakari,0,291
KAN S UMS Shyampur Bhoja,0,175
KAN S UMS Vijayee Chhapra,0,20
KAN S UMS Vishunpur M Urdu,0,79
KAN S Urdu School Police Line,0,732
KAN S Vivah Bhawan,0,182
KAT M1 BANDHPURA PANCHAYAT,0,11
KAT M1 BERAI NORTH PANCHAYAT,0,92
KAT M1 HATHAURI AWC 1-4,0,318
KAT M1 KATRA PANCHAYAT,0,230
KAT M1 LAKHANPUR PANCHAYAT,0,196
KAT M1 MADHEPURA,0,"1,466"
KAT M1 PAHSAUL PANCHAYAT,0,48
KAT M1 SHIVDASPUR PANCHAYAT,0,20
KAT M1 SONPUR PANCHAYAT,0,87
KAT M1 TEHWARA PANCHAYAT,0,123
KAT MIDDLE SCHOOL BASANT,0,140
KAT MS LAKSHMIPUR JAJUAR E,0,240
KAT PANCHAYAT BARHAD,0,312
KAT PRIMARY SCHOOL BATHWARA,0,236
KAT PRIMARY SCHOOL KOYLAMAN,0,245
KAT S MS Pahsaul,0,"1,094"
KAT S MS UFRAULI,0,217
KATRA BS BUS STAND DHANAUR,0,131
KATRA BS LAKHANPUR,0,225
KATRA HS BAGWASA JAJUAR WEST,0,215
KATRA HSC BARHAD,0,190
KATRA MSK MANKI PASHCHIMI,0,177
KATRA PB ANGOAN,0,132
KATRA PB BERAI,0,"1,067"
KATRA PB NAGWARA,0,171
KATRA PS FATEHPUR BANDHPURA,0,219
KATRA PS MANKI MATH SOHIJAN,0,169
KATRA PS MUSHHAR JAJUAR WEST,0,160
KATRA PS TEKWARA,0,423
KATRA PS URDU KATAI,0,170
KATRA PS URDU RAM KHANGOORA,0,477
KATRA UMS BAKHRI,0,170
KATRA UMS HINDI MADHOPUR,0,71
KATRA UMS KANYA KHANGOORA 2,0,72
KATRA URDU SCHOOL BELPAKAUNA,0,135
KDKM Hospital,0,478
KMS Lakhanpur,0,927
KUD Hosp Mahanth Darsan Das 2,0,213
KUD M LADOURA PANCHAYAT BHAWAN,0,9
KUD M1 DARIYAPUR KAFEN AWC 168,0,17
KUD M1 FAKULI DHORI RATAN,0,122
KUD M1 HARI SHANKAR MANIYARI,0,42
KUD M1 JAGARNATHPUR PANCHAYAT,0,130
KUD M1 JAMAHARUA PANCHAYAT,0,135
KUD M1 KISHUNPUR BALAUR,0,127
KUD M1 KISHUNPUR MOHINI,0,150
KUD M1 RAJLA HSC,0,69
KUD M1 SAHPURMARICHA PANCHAYAT,0,30
KUD M1 URB TE BIBIGANJ,0,104
KUD M1 URB TE KHADI BHANDAR,0,120
KUD M1 URB TE NANDPURI BBGANJ,0,166
KUD M2,0,49
KUD M2 BANGRA HARDAS AWC 15,0,32
KUD M2 CHAINPUR WAJID,0,52
KUD M2 CHHITROULI PANCHAYAT,0,278
KUD M2 DARIYAPUR KAFEN,0,90
KUD M2 KHAROUNA PANCHAYAT,0,236
KUD M2 KISHUNPUR MADHUBAN,0,91
KUD M2 LADAURA PANCHAYAT,0,290
KUD M2 MADHOPUR SUSTA,0,355
KUD M2 MAHANT MANIYARI,0,10
KUD M2 MOHMADPUR MUBARAK,0,269
KUD M2 RAGHUNATPUR MADHUBAN,0,52
KUD M2 URB TE AGHORIYA BAZAR,0,274
KUD PS Kanya MADHOPUR SUSTA,0,778
